name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,source_file,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Rodriguez Matthew,CAN,41.0,54.5,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Men,Qualification,2025-04-18,/api/v1/category_rounds/9381/results,/api/v1/events/1405/result/3,X,3,3,1,X,X,X,1,X,2,"2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Amagasa Sohta,JPN,19.0,79.9,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Men,Qualification,2025-04-18,/api/v1/category_rounds/9381/results,/api/v1/events/1405/result/3,X,1,1,1,2,2,X,1,X,1,"2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Xu Ziqi,CHN,19.0,83.7,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Men,Qualification,2025-04-18,/api/v1/category_rounds/9381/results,/api/v1/events/1405/result/3,5,3,5,1,X,X,X,6,1,1,"2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Fu Jiahao,CHN,21.0,78.2,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Men,Qualification,2025-04-18,/api/v1/category_rounds/9381/results,/api/v1/events/1405/result/3,X,7,6,2,X,3,X,3,4,2,"2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Favot Leo,FRA,23.0,78.6,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Men,Qualification,2025-04-18,/api/v1/category_rounds/9381/results,/api/v1/events/1405/result/3,X,3,5,1,X,5,X,1,5,5,"2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Hanna Benjamin,USA,23.0,78.0,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Men,Qualification,2025-04-18,/api/v1/category_rounds/9381/results,/api/v1/events/1405/result/3,X,4,8,8,X,2,X,6,5,5,"2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Bloem Thorben Perry,GER,17.0,84.7,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Men,Qualification,2025-04-18,/api/v1/category_rounds/9381/results,/api/v1/events/1405/result/3,3,2,1,1,X,X,X,2,1,1,"2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Van Duysen Hannes,BEL,21.0,79.2,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Men,Qualification,2025-04-18,/api/v1/category_rounds/9381/results,/api/v1/events/1405/result/3,X,1,2,1,7,5,X,2,X,1,"2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Levin Ram,ISR,37.0,64.1,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Men,Qualification,2025-04-18,/api/v1/category_rounds/9381/results,/api/v1/events/1405/result/3,X,1,5,3,X,3,X,3,X,2,"2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Intrachupongse Ardch,THA,41.0,54.5,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Men,Qualification,2025-04-18,/api/v1/category_rounds/9381/results,/api/v1/events/1405/result/3,X,1,X,1,X,X,X,5,2,1,"2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
