name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,source_file,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Yurko Oleksiy,UKR,22.0,fall,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Nieves Josmar,VEN,22.0,fall,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Molnar Gergõ,HUN,21.0,44.460,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Juhasz Gyula,HUN,20.0,40.430,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Sifra Martin,CZE,19.0,34.650,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Puzon Mateusz,POL,18.0,33.230,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Topal Yaroslav,UKR,17.0,33.140,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Salimov Oleksandr,UKR,16.0,29.500,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
De Las Salas Leonel,VEN,14.0,27.630,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Kalita Maciej,POL,13.0,27.200,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
