name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,source_file,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Miroslaw Karina,,15.0,44.44,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,False,44.44,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Blanco Lucelia,,16.0,FALL,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,False,FALL,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Stenkovaya Anna,RUS,1.0,32.09,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Ropek Edyta,POL,2.0,33.05,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Tuzhylina Svitlana,UKR,3.0,35.68,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Blanco Lucelia,VEN,4.0,35.72,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Alekseeva Kseniia,RUS,6.0,38.62,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Yurina Valentina,RUS,7.0,38.9,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Savisko Anastasiya,UKR,8.0,39.18,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Gaidamakina Alina,RUS,9.0,39.29,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
