name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,source_file,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Dorsimond Isabelle,BEL,1.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,,1991-10-01,,/api/v1/events/103/result/6,,,,,,,,,,,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Brard Agnès,FRA,2.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,,1991-10-01,,/api/v1/events/103/result/6,,,,,,,,,,,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Chereshneva Venera,RUS,3.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,,1991-10-01,,/api/v1/events/103/result/6,,,,,,,,,,,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Feagin Nancy,USA,10.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,,1991-10-01,,/api/v1/events/103/result/6,,,,,,,,,,,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Butler Felicity,GBR,9.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,,1991-10-01,,/api/v1/events/103/result/6,,,,,,,,,,,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Gronkiewicz-Marcisz Iwona,POL,8.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,,1991-10-01,,/api/v1/events/103/result/6,,,,,,,,,,,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Kodina Irina,RUS,5.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,,1991-10-01,,/api/v1/events/103/result/6,,,,,,,,,,,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Eisenhut Andrea,GER,5.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,,1991-10-01,,/api/v1/events/103/result/6,,,,,,,,,,,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Dijkstra Ineke,NED,5.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,,1991-10-01,,/api/v1/events/103/result/6,,,,,,,,,,,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Inozemtseva Yulia,RUS,4.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,,1991-10-01,,/api/v1/events/103/result/6,,,,,,,,,,,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Nicolai Ana,ROU,14.0,,UIAA Worldcup - Frankfurt 1993,124,1993,Frankfurt,Speed,Women,,1993-04-01,,/api/v1/events/124/result/6,,,,,,,,,,,1993-04-01_Frankfurt_Speed_Women_no-round.csv,1993-04-01_Frankfurt_Speed_Women_no-round.csv,1993/1993-04-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Craciun-Pantis Mihaela,ROU,13.0,,UIAA Worldcup - Frankfurt 1993,124,1993,Frankfurt,Speed,Women,,1993-04-01,,/api/v1/events/124/result/6,,,,,,,,,,,1993-04-01_Frankfurt_Speed_Women_no-round.csv,1993-04-01_Frankfurt_Speed_Women_no-round.csv,1993/1993-04-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Brazinova Stanislava,CZE,12.0,,UIAA Worldcup - Frankfurt 1993,124,1993,Frankfurt,Speed,Women,,1993-04-01,,/api/v1/events/124/result/6,,,,,,,,,,,1993-04-01_Frankfurt_Speed_Women_no-round.csv,1993-04-01_Frankfurt_Speed_Women_no-round.csv,1993/1993-04-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Likhova Svetlana,RUS,10.0,,UIAA Worldcup - Frankfurt 1993,124,1993,Frankfurt,Speed,Women,,1993-04-01,,/api/v1/events/124/result/6,,,,,,,,,,,1993-04-01_Frankfurt_Speed_Women_no-round.csv,1993-04-01_Frankfurt_Speed_Women_no-round.csv,1993/1993-04-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
