name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Erbesfield Robyn,USA,1,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Patissier Isabelle,FRA,2,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Hill Lynn,USA,3,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Good Susi,SUI,4,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Iovane Luisa,ITA,5,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Raybaud Nanette,FRA,6,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Valsecchi Raffaella,ITA,7,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Bless-Reith Karin,SUI,8,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Gronkiewicz-Marcisz Iwona,POL,9,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Bibik Olga,RUS,10,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Gloesener Catherine,BEL,11,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Ovtchinnikova Elena,USA,12,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Striecks Angela,GER,13,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Chereshneva Venera,RUS,14,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Ibanez-Tudoras Anna,ESP,15,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Butler Felicity,GBR,16,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Eisenhut Andrea,GER,17,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Richer Natalie,FRA,17,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Ooiwa Akiko,JPN,19,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Schlemmer Tamara,GER,19,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Pashennik Nataliy,RUS,21,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Uhden Marietta,GER,22,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Hirschbichler Barbara,GER,23,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Palle Isabelle,FRA,23,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Kavoussi Karin,AUT,25,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Inozemtseva Yulia,RUS,26,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Eremina Galina,RUS,27,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Laffont Isabelle,FRA,27,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Strano Antonella,ITA,27,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Kleonova Marina,RUS,30,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Sutkina Svetlana,RUS,30,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Bagenova Natalia,RUS,32,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Craciun-Pantis Mihaela,ROU,33,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Dorsimond Isabelle,BEL,34,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Osius Alison,USA,34,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Frühwald Gunda,GER,36,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Piat Marie-Annick,FRA,36,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Pfaffenbichler Dagmar,AUT,38,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Bonhoure Magali,FRA,39,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Guillet Marie,FRA,39,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Guyon Laurence,FRA,39,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Himsl Maria,AUT,39,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Mogi Eriko,JPN,39,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Skarja Simona,SLO,39,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Stojakovic-Pojgornik Slavica,CRO,39,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Stranska Barbara,CZE,39,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Bullido-Gomez Esther,ESP,47,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Farmer Rachel,GBR,48,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Kosmacheva Natalia,RUS,48,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Noel Pascale,LUX,48,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Vallet Catherine,FRA,48,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
Semenova Tatiana,RUS,52,,UIAA Worldcup - Zürich 1992,113,1992,Zürich,Lead,Women,1992-04-30,/api/v1/events/113/result/5,1992-04-30_Zürich_Lead_Women_no-round.csv
