name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Good Susi,SUI,1,,UIAA Worldcup - St. Pölten 1992,116,1992,St. Pölten,Lead,Women,1992-11-13,/api/v1/events/116/result/5,1992-11-13_St. Pölten_Lead_Women_no-round.csv
Erbesfield Robyn,USA,2,,UIAA Worldcup - St. Pölten 1992,116,1992,St. Pölten,Lead,Women,1992-11-13,/api/v1/events/116/result/5,1992-11-13_St. Pölten_Lead_Women_no-round.csv
Patissier Isabelle,FRA,3,,UIAA Worldcup - St. Pölten 1992,116,1992,St. Pölten,Lead,Women,1992-11-13,/api/v1/events/116/result/5,1992-11-13_St. Pölten_Lead_Women_no-round.csv
Hill Lynn,USA,4,,UIAA Worldcup - St. Pölten 1992,116,1992,St. Pölten,Lead,Women,1992-11-13,/api/v1/events/116/result/5,1992-11-13_St. Pölten_Lead_Women_no-round.csv
Raybaud Nanette,FRA,5,,UIAA Worldcup - St. Pölten 1992,116,1992,St. Pölten,Lead,Women,1992-11-13,/api/v1/events/116/result/5,1992-11-13_St. Pölten_Lead_Women_no-round.csv
Ibanez-Tudoras Anna,ESP,6,,UIAA Worldcup - St. Pölten 1992,116,1992,St. Pölten,Lead,Women,1992-11-13,/api/v1/events/116/result/5,1992-11-13_St. Pölten_Lead_Women_no-round.csv
Uhden Marietta,GER,7,,UIAA Worldcup - St. Pölten 1992,116,1992,St. Pölten,Lead,Women,1992-11-13,/api/v1/events/116/result/5,1992-11-13_St. Pölten_Lead_Women_no-round.csv
Iovane Luisa,ITA,8,,UIAA Worldcup - St. Pölten 1992,116,1992,St. Pölten,Lead,Women,1992-11-13,/api/v1/events/116/result/5,1992-11-13_St. Pölten_Lead_Women_no-round.csv
Richer Natalie,FRA,9,,UIAA Worldcup - St. Pölten 1992,116,1992,St. Pölten,Lead,Women,1992-11-13,/api/v1/events/116/result/5,1992-11-13_St. Pölten_Lead_Women_no-round.csv
Bless-Reith Karin,SUI,10,,UIAA Worldcup - St. Pölten 1992,116,1992,St. Pölten,Lead,Women,1992-11-13,/api/v1/events/116/result/5,1992-11-13_St. Pölten_Lead_Women_no-round.csv
Inozemtseva Yulia,RUS,11,,UIAA Worldcup - St. Pölten 1992,116,1992,St. Pölten,Lead,Women,1992-11-13,/api/v1/events/116/result/5,1992-11-13_St. Pölten_Lead_Women_no-round.csv
