name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Good Susi,SUI,1,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Erbesfield Robyn,USA,2,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Patissier Isabelle,FRA,2,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Hill Lynn,USA,4,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Ibanez-Tudoras Anna,ESP,5,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Uhden Marietta,GER,6,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Iovane Luisa,ITA,7,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Inozemtseva Yulia,RUS,8,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Raybaud Nanette,FRA,9,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Bless-Reith Karin,SUI,10,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Butler Felicity,GBR,11,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Laffont Isabelle,FRA,12,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Richer Natalie,FRA,13,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Craciun-Pantis Mihaela,ROU,14,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Dijkstra Ineke,NED,15,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
Farmer Rachel,GBR,16,,UIAA Worldcup - Laval 1992,117,1992,Laval,Lead,Women,1992-11-19,/api/v1/events/117/result/5,1992-11-19_Laval_Lead_Women_no-round.csv
