name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Erbesfield Robyn,USA,1,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Good Susi,SUI,2,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Raybaud Nanette,FRA,3,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Sansoz Liv,FRA,4,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Ovtchinnikova Elena,USA,5,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Richer Natalie,FRA,6,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Guyon Laurence,FRA,7,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Piat Marie-Annick,FRA,8,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Pashennik Nataliy,RUS,9,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Bibik Olga,RUS,10,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Lukancic Metka,SLO,11,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Chereshneva Venera,RUS,12,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Gronkiewicz-Marcisz Iwona,POL,13,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Butler Felicity,GBR,14,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Schlemmer Tamara,GER,15,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Creamer Lucy,GBR,16,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Piszczek Renata,POL,17,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Perlova Nataliya,UKR,18,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Posarlie-Croitoru Elena,ROU,18,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Kryvonis Olena,UKR,20,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Lichtina Marina,KAZ,21,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Churbanova Galina,KAZ,22,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Zadvornih Marie,KAZ,23,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
Jankova Elka,BUL,24,,UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5,1993-08-26_Black See_Lead_Women_no-round.csv
