name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Netsvetaev-Dolgalev Vladimir,RUS,1,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Kryvosheytsev Yevgen,UKR,2,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Moon Ben,GBR,3,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Vedenmeer Andrey,UKR,4,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Dunev Nenco,BUL,5,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Gusak Igor,UKR,5,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Rakhmetov Kairat,KAZ,5,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Videnovski Milen,BUL,5,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Krasilnikov Jury,RUS,9,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Skorik Vitaly,UKR,9,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Spinceraille Ief,BEL,9,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Vaveev Denis,KAZ,9,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Wrobel Marcin,POL,9,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
You Damien,FRA,9,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Zakharov Vladimir,UKR,9,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Finne Jean Paul,BEL,16,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Dutray Mathieu,FRA,17,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Kozlov Maxim,RUS,18,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Sellars Nick,GBR,19,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Mentlik Pavel,CZE,20,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Chovnadze Levan,KAZ,21,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Mazuer Fabien,FRA,21,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Ene Ionel,ROU,23,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Bie Samuel,FRA,24,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Chelarin Ciprian,ROU,25,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
De Rugy Aymar,FRA,26,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
Vinokur Vadim,USA,27,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
