name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Legrand François,FRA,1,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Hirayama Yuji,JPN,2,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Petit François,FRA,3,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Vickers Ian,GBR,4,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Lombard François,FRA,5,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Moon Ben,GBR,6,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Thon Werner,GER,7,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Rakhmetov Salavat,RUS,8,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Adler Alexander,GER,9,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Mazuer Fabien,FRA,9,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Petit Arnaud,FRA,9,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Scassa Severino,ITA,12,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Finne Jean Paul,BEL,13,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Coroller Frédéric,FRA,14,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Sartori Nicola,ITA,15,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Fürst Stefan,AUT,16,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Karn Jim,USA,16,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Tribout Jean-Baptiste,FRA,16,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Mussatto Phillipe,FRA,19,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
ANDRADA JIMENEZ Daniel,ESP,20,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Chevieux Elie,SUI,20,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
Brenna Cristian,ITA,22,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1,1993-11-04_Nürnberg_Lead_Men_no-round.csv
