name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Legrand François,FRA,1,,UIAA Worldcup - Moscow 1994,135,1994,Moscow,Lead,Men,1994-04-28,/api/v1/events/135/result/1,1994-04-28_Moscow_Lead_Men_no-round.csv
Tribout Jean-Baptiste,FRA,2,,UIAA Worldcup - Moscow 1994,135,1994,Moscow,Lead,Men,1994-04-28,/api/v1/events/135/result/1,1994-04-28_Moscow_Lead_Men_no-round.csv
Vickers Ian,GBR,3,,UIAA Worldcup - Moscow 1994,135,1994,Moscow,Lead,Men,1994-04-28,/api/v1/events/135/result/1,1994-04-28_Moscow_Lead_Men_no-round.csv
Albrand Vincent,FRA,4,,UIAA Worldcup - Moscow 1994,135,1994,Moscow,Lead,Men,1994-04-28,/api/v1/events/135/result/1,1994-04-28_Moscow_Lead_Men_no-round.csv
Mazuer Fabien,FRA,4,,UIAA Worldcup - Moscow 1994,135,1994,Moscow,Lead,Men,1994-04-28,/api/v1/events/135/result/1,1994-04-28_Moscow_Lead_Men_no-round.csv
Petit Arnaud,FRA,6,,UIAA Worldcup - Moscow 1994,135,1994,Moscow,Lead,Men,1994-04-28,/api/v1/events/135/result/1,1994-04-28_Moscow_Lead_Men_no-round.csv
Ovchinnikov Evgeny,RUS,7,,UIAA Worldcup - Moscow 1994,135,1994,Moscow,Lead,Men,1994-04-28,/api/v1/events/135/result/1,1994-04-28_Moscow_Lead_Men_no-round.csv
Petit François,FRA,8,,UIAA Worldcup - Moscow 1994,135,1994,Moscow,Lead,Men,1994-04-28,/api/v1/events/135/result/1,1994-04-28_Moscow_Lead_Men_no-round.csv
Lombard François,FRA,9,,UIAA Worldcup - Moscow 1994,135,1994,Moscow,Lead,Men,1994-04-28,/api/v1/events/135/result/1,1994-04-28_Moscow_Lead_Men_no-round.csv
Chevieux Elie,SUI,10,,UIAA Worldcup - Moscow 1994,135,1994,Moscow,Lead,Men,1994-04-28,/api/v1/events/135/result/1,1994-04-28_Moscow_Lead_Men_no-round.csv
