name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Guyon Laurence,FRA,1,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Erbesfield Robyn,USA,2,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Sansoz Liv,FRA,2,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Richer Natalie,FRA,4,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Cufar Martina,SLO,5,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Kavoussi Karin,AUT,6,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Choumilova Elena,RUS,7,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Guillet Marie,FRA,8,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Agapova Galina,RUS,9,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Avezou Cecile,FRA,9,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Ovtchinnikova Elena,USA,11,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Sutkina Svetlana,RUS,11,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Lukancic Metka,SLO,13,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Ruyga Tatiana,RUS,13,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Bibik Olga,RUS,15,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Chereshneva Venera,RUS,16,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Valsecchi Raffaella,ITA,17,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Piszczek Renata,POL,18,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Rouiga Irina,RUS,19,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Zaytseva Irina,RUS,20,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Schlemmer Tamara,GER,21,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Sustar Maja,SLO,21,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Uhden Marietta,GER,21,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Buronova Larissa,RUS,24,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Jenkins Ruth,GBR,24,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Piratinskaya Mayya,RUS,24,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Hilly Margaux,FRA,27,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Butler Felicity,GBR,28,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Mimet Claire,FRA,29,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Panfyorova Margarita,UKR,29,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Berger Marianne,FRA,31,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Pearsons Silvia,GBR,31,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Prickett Eve,GBR,33,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Ryepko Olena,UKR,33,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Perlova Nataliya,UKR,35,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
Arran Anne,GBR,36,,UIAA Worldcup - Moscow 1995,144,1995,Moscow,Lead,Women,1995-10-21,/api/v1/events/144/result/5
