name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Erbesfield Robyn,USA,1,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Sarkany Muriel,BEL,2,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Guillet Marie,FRA,3,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Sansoz Liv,FRA,3,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Guyon Laurence,FRA,5,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Richer Natalie,FRA,6,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Bodet Stéphanie,FRA,7,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Chereshneva Venera,RUS,8,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Choumilova Elena,RUS,9,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Avezou Cecile,FRA,10,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Lukancic Metka,SLO,11,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Kato Yasue,JPN,12,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Kavoussi Karin,AUT,12,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Striecks Angela,GER,12,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Cufar Martina,SLO,15,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Uhden Marietta,GER,15,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Hansen Gry,NOR,17,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Prickett Eve,GBR,18,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Coffy Anne-Marie,FRA,19,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Mimet Claire,FRA,19,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Valsecchi Raffaella,ITA,19,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
Hilly Margaux,FRA,22,,UIAA Worldcup - Aix-les-Bains 1995,147,1995,Aix-les-Bains,Lead,Women,1995-12-07,/api/v1/events/147/result/5,1995-12-07_Aix-les-Bains_Lead_Women_no-round.csv
