name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Guyon Laurence,FRA,1,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Sarkany Muriel,BEL,2,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Sansoz Liv,FRA,3,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Richer Natalie,FRA,4,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Bodet Stéphanie,FRA,5,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Cufar Martina,SLO,6,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Uhden Marietta,GER,7,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Guillet Marie,FRA,8,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Avezou Cecile,FRA,9,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Lukancic Metka,SLO,10,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Iovane Luisa,ITA,11,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Choumilova Elena,RUS,12,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Stremfelj Katarina,SLO,12,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Axon Mia,USA,14,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Verbeek Mirjam,NED,15,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Hartmann Iva,SUI,16,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Arran Anne,GBR,17,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
schöpf Bettina,AUT,18,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Nilsson Ingela,SWE,19,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Anthoni Kim,BEL,20,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Minoret Chloé,FRA,21,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Pearsons Silvia,GBR,22,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Vallet Catherine,FRA,23,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Marchisio Stella,ITA,24,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Singer Meryl,USA,24,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Sutkina Svetlana,RUS,24,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Agapova Galina,RUS,27,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Nieselt Eva,GER,27,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Pigneur Delphine,FRA,27,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Savic Romana,SLO,27,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Klemencic Blaza,SLO,31,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Piszczek Renata,POL,31,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Butler Felicity,GBR,33,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Gronkiewicz-Marcisz Iwona,POL,34,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Loudova Lucie,CZE,34,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Magog Karin,GBR,34,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Monschein Manuela,AUT,34,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Kuhngaberova Jitka,CZE,38,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Schlemmer Tamara,GER,38,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
Smejkalova Eva,CZE,38,,UIAA Worldcup - Kranj 1996,153,1996,Kranj,Lead,Women,1996-11-23,/api/v1/events/153/result/5
