name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Laurence Ludovic,FRA,1,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Bindhammer Andreas,GER,2,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Petit Arnaud,FRA,3,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Dewilde Paul,FRA,4,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Petit François,FRA,5,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Rakhmetov Salavat,RUS,6,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Chevieux Elie,SUI,7,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Brenna Cristian,ITA,8,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Vickers Ian,GBR,9,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Legrand François,FRA,10,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Core Christian,ITA,11,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Benian Milan,CZE,12,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Miller Garth,AUS,13,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
Calibani Mauro,ITA,14,,UIAA Worldcup - Prag 1997,166,1997,Prag,Lead,Men,1997-10-23,/api/v1/events/166/result/1,1997-10-23_Prag_Lead_Men_no-round.csv
