name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Vedenmeer Andrey,UKR,1,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Netsvetaev-Dolgalev Vladimir,RUS,2,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Kozlov Alexei,RUS,3,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Zakharov Vladimir,UKR,4,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Kryvosheytsev Yevgen,UKR,5,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Paukaev Alexandr,UKR,6,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Krivonos Andrei,UKR,7,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Baranov Vladislav,RUS,8,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Müller Lukasz,POL,9,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Bartzik Tim,GER,10,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Gusak Igor,UKR,11,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Aunet Jimmy,FRA,12,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Bassotto Pietro,ITA,13,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Raspo Patrick,ITA,14,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Girard Antoine,FRA,15,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Plat Andrea,ITA,16,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
Oleksy Tomasz,POL,17,,UIAA Worldcup - Beauregard (ITA) 1998,179,1998,Beauregard,Speed,Men,1998-07-31,/api/v1/events/179/result/2
