name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Hirayama Yuji,JPN,1,,UIAA Worldcup - Milan (ITA) 1998,181,1998,Milan,Lead,Men,1998-10-08,/api/v1/events/181/result/1,1998-10-08_Milan_Lead_Men_no-round.csv
Kryvosheytsev Yevgen,UKR,2,,UIAA Worldcup - Milan (ITA) 1998,181,1998,Milan,Lead,Men,1998-10-08,/api/v1/events/181/result/1,1998-10-08_Milan_Lead_Men_no-round.csv
Petit Arnaud,FRA,3,,UIAA Worldcup - Milan (ITA) 1998,181,1998,Milan,Lead,Men,1998-10-08,/api/v1/events/181/result/1,1998-10-08_Milan_Lead_Men_no-round.csv
Brenna Cristian,ITA,4,,UIAA Worldcup - Milan (ITA) 1998,181,1998,Milan,Lead,Men,1998-10-08,/api/v1/events/181/result/1,1998-10-08_Milan_Lead_Men_no-round.csv
Wandeler Simon,SUI,5,,UIAA Worldcup - Milan (ITA) 1998,181,1998,Milan,Lead,Men,1998-10-08,/api/v1/events/181/result/1,1998-10-08_Milan_Lead_Men_no-round.csv
Vickers Ian,GBR,6,,UIAA Worldcup - Milan (ITA) 1998,181,1998,Milan,Lead,Men,1998-10-08,/api/v1/events/181/result/1,1998-10-08_Milan_Lead_Men_no-round.csv
Gallot-Lavallee Mathieu,FRA,7,,UIAA Worldcup - Milan (ITA) 1998,181,1998,Milan,Lead,Men,1998-10-08,/api/v1/events/181/result/1,1998-10-08_Milan_Lead_Men_no-round.csv
Villien David,FRA,8,,UIAA Worldcup - Milan (ITA) 1998,181,1998,Milan,Lead,Men,1998-10-08,/api/v1/events/181/result/1,1998-10-08_Milan_Lead_Men_no-round.csv
Ciencala Michal,CZE,9,,UIAA Worldcup - Milan (ITA) 1998,181,1998,Milan,Lead,Men,1998-10-08,/api/v1/events/181/result/1,1998-10-08_Milan_Lead_Men_no-round.csv
Rakhmetov Salavat,RUS,10,,UIAA Worldcup - Milan (ITA) 1998,181,1998,Milan,Lead,Men,1998-10-08,/api/v1/events/181/result/1,1998-10-08_Milan_Lead_Men_no-round.csv
Caude David,FRA,11,,UIAA Worldcup - Milan (ITA) 1998,181,1998,Milan,Lead,Men,1998-10-08,/api/v1/events/181/result/1,1998-10-08_Milan_Lead_Men_no-round.csv
Golob Jurij,SLO,11,,UIAA Worldcup - Milan (ITA) 1998,181,1998,Milan,Lead,Men,1998-10-08,/api/v1/events/181/result/1,1998-10-08_Milan_Lead_Men_no-round.csv
