name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Ostapenko Olena,UKR,1,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Novikova Natalia,RUS,2,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Ryepko Olena,UKR,3,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Zakharova Olga,UKR,4,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Podgorbounskikh Zosia,RUS,5,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Piszczek Renata,POL,6,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Perlova Nataliya,UKR,7,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Trnkova Lenka,CZE,8,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Piratinskaya Mayya,RUS,9,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Allen Rebecca,GBR,10,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Gronkiewicz-Marcisz Iwona,POL,11,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Go Mi-Sun,KOR,12,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Bell Claire,GBR,13,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
May Abigail,GBR,13,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Ovtchinnikova Elena,USA,13,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
Wallin Lou,SWE,13,,UIAA Worldcup - Besancon (FRA) 1999,198,1999,Besancon,Speed,Women,1999-06-09,/api/v1/events/198/result/6,1999-06-09_Besancon_Speed_Women_no-round.csv
