name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Zakharova Olga,UKR,1,,UIAA Worldcup - Beauregard (ITA) 1999,202,1999,Beauregard,Speed,Women,1999-07-23,/api/v1/events/202/result/6
Ostapenko Olena,UKR,2,,UIAA Worldcup - Beauregard (ITA) 1999,202,1999,Beauregard,Speed,Women,1999-07-23,/api/v1/events/202/result/6
Piszczek Renata,POL,3,,UIAA Worldcup - Beauregard (ITA) 1999,202,1999,Beauregard,Speed,Women,1999-07-23,/api/v1/events/202/result/6
Piratinskaya Mayya,RUS,4,,UIAA Worldcup - Beauregard (ITA) 1999,202,1999,Beauregard,Speed,Women,1999-07-23,/api/v1/events/202/result/6
Perlova Nataliya,UKR,5,,UIAA Worldcup - Beauregard (ITA) 1999,202,1999,Beauregard,Speed,Women,1999-07-23,/api/v1/events/202/result/6
Sutkina Svetlana,RUS,6,,UIAA Worldcup - Beauregard (ITA) 1999,202,1999,Beauregard,Speed,Women,1999-07-23,/api/v1/events/202/result/6
Podgorbounskikh Zosia,RUS,7,,UIAA Worldcup - Beauregard (ITA) 1999,202,1999,Beauregard,Speed,Women,1999-07-23,/api/v1/events/202/result/6
Bibik Olga,RUS,8,,UIAA Worldcup - Beauregard (ITA) 1999,202,1999,Beauregard,Speed,Women,1999-07-23,/api/v1/events/202/result/6
Novikova Natalia,RUS,9,,UIAA Worldcup - Beauregard (ITA) 1999,202,1999,Beauregard,Speed,Women,1999-07-23,/api/v1/events/202/result/6
Ryepko Olena,UKR,10,,UIAA Worldcup - Beauregard (ITA) 1999,202,1999,Beauregard,Speed,Women,1999-07-23,/api/v1/events/202/result/6
Baranova Natalia,RUS,11,,UIAA Worldcup - Beauregard (ITA) 1999,202,1999,Beauregard,Speed,Women,1999-07-23,/api/v1/events/202/result/6
