name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
ANDRADA JIMENEZ Daniel,ESP,1,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
Jeandenand Damien,FRA,2,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
Ovchinnikov Evgeny,RUS,3,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
Rakhmetov Salavat,RUS,4,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
Core Christian,ITA,5,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
Meyer Jérôme,FRA,6,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
Julien Stephane,FRA,7,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
Kazbekov Serik,UKR,8,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
Petit Arnaud,FRA,9,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
DU LAC Daniel,FRA,10,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
Danis Jean Luc,FRA,11,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
Oleksy Tomasz,POL,12,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
Dutray Mathieu,FRA,13,,UIAA Worldcup - Bardonecchia (ITA) 1999,203,1999,Bardonecchia,Boulder,Men,1999-07-30,/api/v1/events/203/result/3,1999-07-30_Bardonecchia_Boulder_Men_no-round.csv
