name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Sansoz Liv,FRA,1,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
Sarkany Muriel,BEL,2,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
Ovtchinnikova Elena,USA,3,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
Uhden Marietta,GER,4,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
Schultz Annatina,SUI,5,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
Cufar Martina,SLO,6,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
Martin Delphine,FRA,7,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
Bereciartu Urruzola Josune,ESP,8,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
Levet Sandrine,FRA,9,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
Knorr Damaris,GER,10,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
Go Mi-Sun,KOR,11,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
Bodet Stéphanie,FRA,12,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
Novikova Natalia,RUS,13,,UIAA World Championship - Birmingham (GBR) 1999,207,1999,Birmingham,Lead,Women,1999-12-02,/api/v1/events/207/result/5,1999-12-02_Birmingham_Lead_Women_no-round.csv
