name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Pons Pedro,ESP,1,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
DU LAC Daniel,FRA,2,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Rakhmetov Salavat,RUS,3,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Meyer Jérôme,FRA,4,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Giudici Lucio,ITA,5,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Chabot Alexandre,FRA,6,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
ANDRADA JIMENEZ Daniel,ESP,7,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Golob Jurij,SLO,8,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Tuscan Frédéric,FRA,9,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Julien Stephane,FRA,10,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Jeandenand Damien,FRA,11,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Kazbekov Serik,UKR,12,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Ovchinnikov Evgeny,RUS,13,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Borowka Karsten,GER,14,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Fairfield Timmy,CAN,15,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Haager Benedikt,GER,16,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Fischhuber Kilian,AUT,17,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Felgerolle Benjamin,FRA,18,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Noe Frédéric,FRA,19,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Bychkov Dmitrii,RUS,20,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Laurence Ludovic,FRA,21,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Scarian Riccardo,ITA,22,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Littlefair Stuart,GBR,23,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Vedenmeer Andrey,UKR,24,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Dutray Mathieu,FRA,25,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
Wandeler Simon,SUI,26,,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
