name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Sansoz Liv,FRA,1,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Bauer Tanja,GER,2,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Levet Sandrine,FRA,3,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Bibik Olga,RUS,4,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Haager Nicola,GER,5,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Martin Delphine,FRA,6,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Perlova Nataliya,UKR,7,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Minoret Chloé,FRA,8,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Novikova Natalia,RUS,9,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Theroux Corinne,FRA,10,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Ooiwa Akiko,JPN,11,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Plannels Ruth,ESP,12,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Anthoni Kim,BEL,13,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Chenevier Pigneur Delphine,FRA,14,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Kotasova-Kostruhova Vera,CZE,15,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Raffetseder Gerda,AUT,16,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Frati Mirella,ITA,17,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Go Mi-Sun,KOR,18,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Marti Nuria,ESP,19,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Nilsson Ingela,SWE,20,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Sarre Claire,FRA,21,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Guiguet Myrtille,FRA,22,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Hurtado Céline,FRA,23,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Schirrmacher Katherine,GBR,24,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
Bergqvist Annika,SWE,25,,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
