name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Chabot Alexandre,FRA,1,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Legrand François,FRA,2,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Hirayama Yuji,JPN,3,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Petrenko Maksym,UKR,4,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Lagni Bernardino,ITA,5,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Millet Sylvain,FRA,6,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Dewilde Paul,FRA,7,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Brenna Cristian,ITA,8,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Crespi Flavio,ITA,9,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Gnerro Alberto,ITA,10,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Pouvreau Gérome,FRA,11,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Bindhammer Christian,GER,12,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Kazbekov Serik,UKR,13,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Kryvosheytsev Yevgen,UKR,14,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Caude David,FRA,15,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Petit Arnaud,FRA,15,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Rakhmetov Salavat,RUS,17,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Vinokur Vadim,USA,18,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Felix Martin,SUI,19,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
Zardini Luca,ITA,20,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
