name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Sansoz Liv,FRA,1,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Sarkany Muriel,BEL,2,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Cufar Martina,SLO,3,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Bodet Stéphanie,FRA,4,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Uhden Marietta,GER,5,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Ovtchinnikova Elena,USA,6,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Levet Sandrine,FRA,7,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Minoret Chloé,FRA,8,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
schöpf Bettina,AUT,9,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Go Mi-Sun,KOR,10,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Schultz Annatina,SUI,10,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Guzzi Nastja,SLO,12,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Novikova Natalia,RUS,13,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Lavarda Jenny,ITA,14,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Kim Hyun-Jung,KOR,15,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Tusar Eva,SLO,16,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Martha Cécile,FRA,17,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Martin Delphine,FRA,18,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Kryvonis Olena,UKR,19,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Iovane Luisa,ITA,20,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Bibik Olga,RUS,21,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Bihr Isabelle,FRA,22,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Petrignet Carole,FRA,23,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Truden Sasa,SLO,24,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Kimura Rie,JPN,25,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Eyer Alexandra,SUI,26,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Knorr Damaris,GER,27,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Schranz Barbara,AUT,28,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Endo Yuka,JPN,29,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Gronkiewicz-Marcisz Iwona,POL,29,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Louis Stéphanie,SUI,29,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Perlova Nataliya,UKR,32,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Nilsson Ingela,SWE,33,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Trnkova Lenka,CZE,33,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Aguirre Leire,ESP,35,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
CRUZ MONTALBAN Esther,ESP,35,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Lage Lisa,USA,35,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Raffetseder Gerda,AUT,35,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Salvadori Claudia,ITA,35,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Watahiki Akiko,JPN,35,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Allen Rebecca,GBR,41,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Nagyova Sylvie,CZE,41,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Förander Jenny,SWE,43,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Walder Ulla,ITA,44,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
Hawke Emma,NZL,45,,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5,2000-09-22_Lecco_Lead_Women_no-round.csv
