name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Cufar Martina,SLO,1,,UIAA World Championship - Winterthur (SUI) 2001,244,2001,Winterthur,Lead,Women,2001-09-05,/api/v1/events/244/result/5,2001-09-05_Winterthur_Lead_Women_no-round.csv
Sarkany Muriel,BEL,2,,UIAA World Championship - Winterthur (SUI) 2001,244,2001,Winterthur,Lead,Women,2001-09-05,/api/v1/events/244/result/5,2001-09-05_Winterthur_Lead_Women_no-round.csv
Minoret Chloé,FRA,3,,UIAA World Championship - Winterthur (SUI) 2001,244,2001,Winterthur,Lead,Women,2001-09-05,/api/v1/events/244/result/5,2001-09-05_Winterthur_Lead_Women_no-round.csv
schöpf Bettina,AUT,4,,UIAA World Championship - Winterthur (SUI) 2001,244,2001,Winterthur,Lead,Women,2001-09-05,/api/v1/events/244/result/5,2001-09-05_Winterthur_Lead_Women_no-round.csv
Iakovleva Olga,RUS,5,,UIAA World Championship - Winterthur (SUI) 2001,244,2001,Winterthur,Lead,Women,2001-09-05,/api/v1/events/244/result/5,2001-09-05_Winterthur_Lead_Women_no-round.csv
Lavarda Jenny,ITA,5,,UIAA World Championship - Winterthur (SUI) 2001,244,2001,Winterthur,Lead,Women,2001-09-05,/api/v1/events/244/result/5,2001-09-05_Winterthur_Lead_Women_no-round.csv
Uhden Marietta,GER,7,,UIAA World Championship - Winterthur (SUI) 2001,244,2001,Winterthur,Lead,Women,2001-09-05,/api/v1/events/244/result/5,2001-09-05_Winterthur_Lead_Women_no-round.csv
Sedlmayer Katrin,GER,8,,UIAA World Championship - Winterthur (SUI) 2001,244,2001,Winterthur,Lead,Women,2001-09-05,/api/v1/events/244/result/5,2001-09-05_Winterthur_Lead_Women_no-round.csv
Kimura Rie,JPN,9,,UIAA World Championship - Winterthur (SUI) 2001,244,2001,Winterthur,Lead,Women,2001-09-05,/api/v1/events/244/result/5,2001-09-05_Winterthur_Lead_Women_no-round.csv
Schultz Annatina,SUI,10,,UIAA World Championship - Winterthur (SUI) 2001,244,2001,Winterthur,Lead,Women,2001-09-05,/api/v1/events/244/result/5,2001-09-05_Winterthur_Lead_Women_no-round.csv
Go Mi-Sun,KOR,11,,UIAA World Championship - Winterthur (SUI) 2001,244,2001,Winterthur,Lead,Women,2001-09-05,/api/v1/events/244/result/5,2001-09-05_Winterthur_Lead_Women_no-round.csv
Ovtchinnikova Elena,USA,11,,UIAA World Championship - Winterthur (SUI) 2001,244,2001,Winterthur,Lead,Women,2001-09-05,/api/v1/events/244/result/5,2001-09-05_Winterthur_Lead_Women_no-round.csv
