name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Zakharova Olga,UKR,1,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Hendrawati Agung Ethi,INA,2,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Podgorbounskikh Zosia,RUS,3,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Sutkina Svetlana,RUS,4,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Yuniar Yuyun,INA,5,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Saulevich Olesya,RUS,6,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Piratinskaya Mayya,RUS,7,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Stenkovaya Anna,RUS,8,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Choi Shun-Yuk,HKG,9,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Kim Joung-Mi,KOR,10,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Lesaca Lissa,PHI,11,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Huang Li-Ping,CHN,12,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Wei Sheng-Ju,CHN,13,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Liu Gui-Ying,CHN,14,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
Huang Bai-Le,TPE,15,,UIAA Worldcup - Kuala Lumpur (MAS) 2001,247,2001,Kuala Lumpur,Speed,Women,2001-11-02,/api/v1/events/247/result/6
