name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Levet Sandrine,FRA,1,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Rands Lisa,USA,2,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Kotasova-Kostruhova Vera,CZE,3,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Theroux Corinne,FRA,4,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Aguirre Leire,ESP,5,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Motteau Myriam,FRA,6,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Piszczek Renata,POL,7,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Perlova Nataliya,UKR,8,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Pouget Emilie,FRA,9,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Abramchuk Yulia,RUS,10,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Cufar Martina,SLO,11,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Lipenska Helena,CZE,12,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Gronkiewicz-Marcisz Iwona,POL,13,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Raffetseder Gerda,AUT,14,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Martin Sancho Berta,ESP,15,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Förander Jenny,SWE,16,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Plannels Ruth,ESP,17,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Haager Nicola,GER,18,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Bell Claire,GBR,19,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Schirrmacher Katherine,GBR,20,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Marti Nuria,ESP,21,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Hughes Lucinda,GBR,22,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Gordon Jo,GBR,23,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Seymour Rachel,GBR,23,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Lind Angelica,SWE,25,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Martindale Alison,GBR,25,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Swart Nienke,NED,27,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
May Abigail,GBR,28,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Oakley Sian,GBR,29,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
Atkinson Lucy,GBR,30,,UIAA Worldcup - Birmingham (GBR) 2001,249,2001,Birmingham,Boulder,Women,2001-12-06,/api/v1/events/249/result/7
