name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Styenkovyy Maksym,UKR,1,,3. UIAA Worldcup - Yekaterinburg (RUS) 2002,278,2002,Yekaterinburg,Speed,Men,2002-05-25,/api/v1/events/278/result/2,2002-05-25_Yekaterinburg_Speed_Men_no-round.csv
Peshekhonov Alexander,RUS,2,,3. UIAA Worldcup - Yekaterinburg (RUS) 2002,278,2002,Yekaterinburg,Speed,Men,2002-05-25,/api/v1/events/278/result/2,2002-05-25_Yekaterinburg_Speed_Men_no-round.csv
Komondi Csaba,HUN,3,,3. UIAA Worldcup - Yekaterinburg (RUS) 2002,278,2002,Yekaterinburg,Speed,Men,2002-05-25,/api/v1/events/278/result/2,2002-05-25_Yekaterinburg_Speed_Men_no-round.csv
Soubbotine Iakov,RUS,4,,3. UIAA Worldcup - Yekaterinburg (RUS) 2002,278,2002,Yekaterinburg,Speed,Men,2002-05-25,/api/v1/events/278/result/2,2002-05-25_Yekaterinburg_Speed_Men_no-round.csv
Minatchev Evgueni,RUS,5,,3. UIAA Worldcup - Yekaterinburg (RUS) 2002,278,2002,Yekaterinburg,Speed,Men,2002-05-25,/api/v1/events/278/result/2,2002-05-25_Yekaterinburg_Speed_Men_no-round.csv
Baranov Vladislav,RUS,6,,3. UIAA Worldcup - Yekaterinburg (RUS) 2002,278,2002,Yekaterinburg,Speed,Men,2002-05-25,/api/v1/events/278/result/2,2002-05-25_Yekaterinburg_Speed_Men_no-round.csv
Chaoulsky Alexandre,RUS,7,,3. UIAA Worldcup - Yekaterinburg (RUS) 2002,278,2002,Yekaterinburg,Speed,Men,2002-05-25,/api/v1/events/278/result/2,2002-05-25_Yekaterinburg_Speed_Men_no-round.csv
Salimov Oleksandr,UKR,8,,3. UIAA Worldcup - Yekaterinburg (RUS) 2002,278,2002,Yekaterinburg,Speed,Men,2002-05-25,/api/v1/events/278/result/2,2002-05-25_Yekaterinburg_Speed_Men_no-round.csv
Gadeev Alexei,RUS,9,,3. UIAA Worldcup - Yekaterinburg (RUS) 2002,278,2002,Yekaterinburg,Speed,Men,2002-05-25,/api/v1/events/278/result/2,2002-05-25_Yekaterinburg_Speed_Men_no-round.csv
Zakharov Vladimir,UKR,10,,3. UIAA Worldcup - Yekaterinburg (RUS) 2002,278,2002,Yekaterinburg,Speed,Men,2002-05-25,/api/v1/events/278/result/2,2002-05-25_Yekaterinburg_Speed_Men_no-round.csv
