name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Sarkany Muriel,BEL,1,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Levet Sandrine,FRA,2,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Pouget Emilie,FRA,3,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Knorr Damaris,GER,4,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Gros Natalija,SLO,5,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Cufar Martina,SLO,6,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Lavarda Jenny,ITA,7,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Bacher Barbara,AUT,8,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Minoret Chloé,FRA,9,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Nagakai Hoshiko,JPN,10,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Kimura Rie,JPN,11,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
schöpf Bettina,AUT,12,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Nilsson Ingela,SWE,13,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Eyer Alexandra,SUI,14,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Liu Hiu Ying,HKG,15,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Forestier Monique,AUS,16,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Huang Li-Ping,CHN,17,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Huang Bai-Le,TPE,18,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Li Chunhua,CHN,19,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Raffetseder Gerda,AUT,20,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Schultz Annatina,SUI,21,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Lage Lisa,USA,22,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Choi Shun-Yuk,HKG,23,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Yuniar Yuyun,INA,24,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Hawke Emma,NZL,25,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Endo Yuka,JPN,26,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Hendrawati Agung Ethi,INA,27,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Chong Beatrix,SGP,28,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Lesaca Lissa,PHI,29,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
Goh Tan Leng,SGP,30,,UIAA Worldcup - Singapore (SIN) 2002,284,2002,Singapore,Lead,Women,2002-08-23,/api/v1/events/284/result/5
