name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Motteau Myriam,FRA,1,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Lee Lauren,USA,2,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Perlova Nataliya,UKR,3,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Lavarda Jenny,ITA,4,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Ritsch Isabella,AUT,5,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Iakovleva Olga,RUS,6,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Kotasova-Kostruhova Vera,CZE,7,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Haager Nicola,GER,8,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Son Mélanie,FRA,9,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Rogeaux Fanny,FRA,10,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Aguirre Leire,ESP,11,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
De Grandi Stefania,ITA,12,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Marchisio Stella,ITA,13,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Giammarco Giulia,ITA,14,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Abgrall Emilie,FRA,15,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Theroux Corinne,FRA,16,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
Minoret Chloé,FRA,17,,UIAA Worldcup - Rovereto (ITA) 2002,285,2002,Rovereto,Boulder,Women,2002-09-13,/api/v1/events/285/result/7,2002-09-13_Rovereto_Boulder_Women_no-round.csv
