name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Soubbotine Iakov,RUS,1,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Sinitcyn Sergei,RUS,2,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Chaoulsky Alexandre,RUS,3,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Minatchev Evgueni,RUS,4,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Peshekhonov Alexander,RUS,5,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Konovalov Dmytro,UKR,6,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Gadeev Alexei,RUS,7,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Goutorine Egor,RUS,8,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Klepikov Pavel,RUS,9,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Komondi Csaba,HUN,10,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Vaitsekhovskii Evgenii,RUS,11,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Kryvosheytsev Yevgen,UKR,12,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Baranov Vladislav,RUS,13,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Oleksy Tomasz,POL,14,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Lyukhanov Konstantin,RUS,15,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Sadyrov Marat,RUS,16,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Kosterin Alexander,RUS,17,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Tchernykh Maxim,RUS,18,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Bartha Attila,HUN,19,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Zemski Alexei,RUS,20,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
Astashov Ruslan,RUS,21,,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),309,2003,Yekaterinburg,Speed,Men,2003-06-04,/api/v1/events/309/result/2
