name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Oleksy Tomasz,POL,1,,UIAA Worldcup - Lecco (ITA) 2003 (speed),312,2003,Lecco,Speed,Men,2003-06-23,/api/v1/events/312/result/2,2003-06-23_Lecco_Speed_Men_no-round.csv
Chaoulsky Alexandre,RUS,2,,UIAA Worldcup - Lecco (ITA) 2003 (speed),312,2003,Lecco,Speed,Men,2003-06-23,/api/v1/events/312/result/2,2003-06-23_Lecco_Speed_Men_no-round.csv
Styenkovyy Maksym,UKR,3,,UIAA Worldcup - Lecco (ITA) 2003 (speed),312,2003,Lecco,Speed,Men,2003-06-23,/api/v1/events/312/result/2,2003-06-23_Lecco_Speed_Men_no-round.csv
Sadyrov Marat,RUS,4,,UIAA Worldcup - Lecco (ITA) 2003 (speed),312,2003,Lecco,Speed,Men,2003-06-23,/api/v1/events/312/result/2,2003-06-23_Lecco_Speed_Men_no-round.csv
Sinitcyn Sergei,RUS,5,,UIAA Worldcup - Lecco (ITA) 2003 (speed),312,2003,Lecco,Speed,Men,2003-06-23,/api/v1/events/312/result/2,2003-06-23_Lecco_Speed_Men_no-round.csv
Konovalov Dmytro,UKR,6,,UIAA Worldcup - Lecco (ITA) 2003 (speed),312,2003,Lecco,Speed,Men,2003-06-23,/api/v1/events/312/result/2,2003-06-23_Lecco_Speed_Men_no-round.csv
Komondi Csaba,HUN,7,,UIAA Worldcup - Lecco (ITA) 2003 (speed),312,2003,Lecco,Speed,Men,2003-06-23,/api/v1/events/312/result/2,2003-06-23_Lecco_Speed_Men_no-round.csv
Peshekhonov Alexander,RUS,8,,UIAA Worldcup - Lecco (ITA) 2003 (speed),312,2003,Lecco,Speed,Men,2003-06-23,/api/v1/events/312/result/2,2003-06-23_Lecco_Speed_Men_no-round.csv
Soubbotine Iakov,RUS,9,,UIAA Worldcup - Lecco (ITA) 2003 (speed),312,2003,Lecco,Speed,Men,2003-06-23,/api/v1/events/312/result/2,2003-06-23_Lecco_Speed_Men_no-round.csv
Shyshkovskyy Ivan,UKR,10,,UIAA Worldcup - Lecco (ITA) 2003 (speed),312,2003,Lecco,Speed,Men,2003-06-23,/api/v1/events/312/result/2,2003-06-23_Lecco_Speed_Men_no-round.csv
Boulbahaiem Salah,BEL,11,,UIAA Worldcup - Lecco (ITA) 2003 (speed),312,2003,Lecco,Speed,Men,2003-06-23,/api/v1/events/312/result/2,2003-06-23_Lecco_Speed_Men_no-round.csv
