name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Bibik Olga,RUS,1,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Abramchuk Yulia,RUS,2,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Motteau Myriam,FRA,3,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Theroux Corinne,FRA,4,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Rands Lisa,USA,5,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Bihr Isabelle,FRA,6,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Giammarco Giulia,ITA,7,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Son Mélanie,FRA,8,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Levet Sandrine,FRA,9,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Iakovleva Olga,RUS,10,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Kotasova-Kostruhova Vera,CZE,11,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Ritsch Isabella,AUT,12,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Danion Juliette,FRA,13,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Perlova Nataliya,UKR,14,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Marchisio Stella,ITA,15,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Bacher Barbara,AUT,16,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Rogeaux Fanny,FRA,17,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Martindale Alison,GBR,18,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Harrington Emily,USA,19,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
De Grandi Stefania,ITA,20,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Aguirre Leire,ESP,21,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Combaz Celine,FRA,22,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Delphino Amélie,FRA,23,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
Cintalova Katarina,SVK,24,,UIAA Worldcup - Lecco (ITA) 2003 (boulder),313,2003,Lecco,Boulder,Women,2003-06-24,/api/v1/events/313/result/7,2003-06-24_Lecco_Boulder_Women_no-round.csv
