name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Core Christian,ITA,1,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
Meyer Jérôme,FRA,2,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
Oleksy Tomasz,POL,3,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
Calibani Mauro,ITA,4,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
Fischhuber Kilian,AUT,5,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
Kazbekov Serik,UKR,6,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
Rakhmetov Salavat,RUS,7,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
Matsushima Akito,JPN,8,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
Julien Stephane,FRA,9,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
Earl Andrew,GBR,10,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
Meikl Alexander,AUT,11,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
Progulakis Georgos,ITA,12,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
Konovalov Dmytro,UKR,13,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Men,2003-07-09,/api/v1/events/315/result/3
