name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Levet Sandrine,FRA,1,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Perlova Nataliya,UKR,2,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Rogeaux Fanny,FRA,3,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Bibik Olga,RUS,4,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Danion Juliette,FRA,5,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Kotasova-Kostruhova Vera,CZE,6,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Chereshneva Venera,RUS,7,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Shalagina Olga,UKR,8,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Motteau Myriam,FRA,9,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Abramchuk Yulia,RUS,10,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Marchisio Stella,ITA,11,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Theroux Corinne,FRA,12,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Berry Samantha,AUS,13,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Giammarco Giulia,ITA,14,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Bacher Barbara,AUT,15,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
Aguirre Leire,ESP,16,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Boulder,Women,2003-07-09,/api/v1/events/315/result/7,2003-07-09_Chamonix_Boulder_Women_no-round.csv
