name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Sarkany Muriel,BEL,1,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Pouget Emilie,FRA,2,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Levet Sandrine,FRA,3,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Lavarda Jenny,ITA,4,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Eyer Alexandra,SUI,5,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Ciavaldini Caroline,FRA,6,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Eiter Angela,AUT,7,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Bacher Barbara,AUT,8,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Harrington Emily,USA,9,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Shalagina Olga,UKR,10,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Novikova Natalia,RUS,11,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Cufar Martina,SLO,12,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
schöpf Bettina,AUT,12,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Ostapenko Olena,UKR,14,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Hnizdilova Sona,CZE,15,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Raffetseder Gerda,AUT,15,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Knorr Damaris,GER,17,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Vidmar Katja,SLO,17,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Kimura Rie,JPN,19,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Franko Lucka,SLO,20,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Vidmar Maja,SLO,20,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Go Mi-Sun,KOR,22,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Nilsson Ingela,SWE,23,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Iakovleva Olga,RUS,24,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Minoret Chloé,FRA,24,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Sansoz Liv,FRA,26,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Louis Stéphanie,SUI,27,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Kysilkova Tereza,CZE,28,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Muñoz Eva Elez,ESP,29,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Bezhko Olga,UKR,30,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Benetti Lisa,ITA,31,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Bibik Olga,RUS,31,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Chereshneva Venera,RUS,31,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Kosmac Ana,SLO,31,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Cintalova Zuzana,SVK,35,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Balakireva Alexandra,RUS,36,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Rajfova Lucie,CZE,36,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Asher Elizabeth,USA,38,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Lipenska Helena,CZE,38,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Kim Hyun-Jung,KOR,40,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Knabl Sabine,AUT,41,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Stendal Linn Karin,NOR,42,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Zeilemaker Monica,NED,43,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Cintalova Katarina,SVK,44,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
Kugler Eliza,POL,45,,UIAA Worldchampionship - Chamonix (FRA) 2003,315,2003,Chamonix,Lead,Women,2003-07-09,/api/v1/events/315/result/5
