name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Meyer Jérôme,FRA,1,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Son Sangwon,KOR,2,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Core Christian,ITA,3,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
DU LAC Daniel,FRA,4,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Kazbekov Serik,UKR,5,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Croxall Mark,GBR,6,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Gaidioz Loïc,FRA,7,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Fischhuber Kilian,AUT,8,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Jongeneelen Wouter,NED,9,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Progulakis Georgos,ITA,10,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Laurence Ludovic,FRA,11,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Desgranges Romain,FRA,12,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Van Raaij Bart,NED,13,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Mogaki Keita,JPN,14,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Rakhmetov Salavat,RUS,15,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Meikl Alexander,AUT,16,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Dolezaj Peter,SVK,17,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Matsushima Akito,JPN,18,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Pagnoux Romain,FRA,19,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Natech Faycal,FRA,20,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Bychkov Dmitrii,RUS,21,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Dard Yohann,FRA,22,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Dutray Mathieu,FRA,23,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Valjavec Tomaz,SLO,24,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Villeneuve Simon,CAN,25,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Benk Christian,GER,26,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Ozawa Shinta,JPN,27,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Neuhaus Thorsten,GER,28,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Soucek Radovah,CZE,29,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
ANDRADA JIMENEZ Daniel,ESP,30,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Julien Stephane,FRA,31,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Noviant Severin,FRA,32,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Golob Jurij,SLO,33,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Scarian Riccardo,ITA,34,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Januel Nicolas,FRA,35,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Shevchenko Kyrylo,UKR,36,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Badia Nicolas,FRA,37,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Shalagin Mykhaylo,UKR,38,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Jung Daniel,GER,39,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Sova Matej,SLO,40,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Wilhelm Heiko,AUT,41,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
Kryvosheytsev Yevgen,UKR,42,,UIAA Worldcup - L'Argentière (FRA) 2003,316,2003,L'Argentière,Boulder,Men,2003-07-24,/api/v1/events/316/result/3,2003-07-24_L'Argentière_Boulder_Men_no-round.csv
