name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Rakhmetov Salavat,RUS,1,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
DU LAC Daniel,FRA,2,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Fischhuber Kilian,AUT,3,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Jongeneelen Wouter,NED,4,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Meyer Jérôme,FRA,5,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Oleksy Tomasz,POL,6,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Ghidini Stefano,ITA,7,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Ovchinnikov Evgeny,RUS,8,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Kazbekov Serik,UKR,9,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Laurence Ludovic,FRA,10,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Dutray Mathieu,FRA,11,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Julien Stephane,FRA,12,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Caminati Michele,ITA,13,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Preti Lucas,ITA,14,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Gaidioz Loïc,FRA,15,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
Progulakis Georgos,ITA,16,,UIAA Worldcup - Rovereto (ITA) 2003,319,2003,Rovereto,Boulder,Men,2003-09-11,/api/v1/events/319/result/3
