name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Meyer Jérôme,FRA,1,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Rakhmetov Salavat,RUS,2,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Mogaki Keita,JPN,3,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Kazbekov Serik,UKR,4,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Müller Matthias,SUI,5,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
DU LAC Daniel,FRA,6,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Parry Gareth,GBR,7,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Smith Malcolm,GBR,8,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Laurence Ludovic,FRA,9,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Gaidioz Loïc,FRA,10,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Croxall Mark,GBR,11,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Dutray Mathieu,FRA,12,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Son Sangwon,KOR,13,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Earl Andrew,GBR,14,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Fischhuber Kilian,AUT,15,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Oleksy Tomasz,POL,16,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Gisler David,SUI,17,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Nytorp Tomi,FIN,18,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Borowka Karsten,GER,19,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Golob Jurij,SLO,20,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
Jongeneelen Wouter,NED,21,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Boulder,Men,2003-12-04,/api/v1/events/325/result/3,2003-12-04_Edinburgh_Boulder_Men_no-round.csv
