name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Levet Sandrine,FRA,1,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Minoret Chloé,FRA,2,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Vidmar Maja,SLO,3,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Sarkany Muriel,BEL,4,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Eiter Angela,AUT,5,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Franko Lucka,SLO,6,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Cufar Martina,SLO,7,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Knorr Damaris,GER,8,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Creamer Lucy,GBR,9,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Martin Delphine,FRA,10,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Ciavaldini Caroline,FRA,11,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Eyer Alexandra,SUI,12,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Nilsson Ingela,SWE,13,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Saurwein Katharina,AUT,13,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Stendal Linn Karin,NOR,13,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Vidmar Katja,SLO,13,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Raffetseder Gerda,AUT,17,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Lavarda Jenny,ITA,18,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Kysilkova Tereza,CZE,19,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Raveyre Emmanuelle,FRA,20,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Zeilemaker Monica,NED,21,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Mathieu Laure,FRA,22,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Kosmac Ana,SLO,23,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Knabl Sabine,AUT,24,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Go Mi-Sun,KOR,25,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Powell Jemma,GBR,26,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Bacher Sabine,AUT,27,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Sakakibara Yuko,JPN,28,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Kim Hyun-Jung,KOR,29,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Huang Bai-Le,TPE,30,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Mathieu Claire,FRA,31,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Mills Katherine,GBR,32,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
Knabl Regina,AUT,33,,UIAA Worldcup - Edinburgh (GBR) 2003,325,2003,Edinburgh,Lead,Women,2003-12-04,/api/v1/events/325/result/5
