name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Levet Sandrine,FRA,1,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Bibik Olga,RUS,2,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Lavarda Jenny,ITA,3,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Abramchuk Yulia,RUS,4,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Abgrall Emilie,FRA,5,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Rogeaux Fanny,FRA,6,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Danion Juliette,FRA,7,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Theroux Corinne,FRA,8,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Berry Samantha,AUS,9,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Sedlmayer Katrin,GER,10,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Marchisio Stella,ITA,11,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Son Mélanie,FRA,12,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Hughes Lucinda,GBR,13,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Dufraisse Alizée,FRA,14,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Martin Sancho Berta,ESP,15,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Mills Katherine,GBR,16,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Gordon Jo,GBR,17,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Oakley Sian,GBR,18,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Hawke Emma,NZL,19,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Martindale Alison,GBR,20,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
Atkinson Lucy,GBR,21,,UIAA Worldcup - Birmingham (GBR) 2004,347,2004,Birmingham,Boulder,Women,2004-04-02,/api/v1/events/347/result/7,2004-04-02_Birmingham_Boulder_Women_no-round.csv
