name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Stenkovaya Anna,RUS,1,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Neliwati Evi,INA,2,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Hendrawati Agung Ethi,INA,3,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Ruyga Tatiana,RUS,4,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Ropek Edyta,POL,5,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Piszczek Renata,POL,6,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Li Chunhua,CHN,7,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Zakharova Olga,UKR,8,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Yurina Valentina,RUS,9,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Perlova Nataliya,UKR,10,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Wei Sheng-Ju,CHN,11,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Cheng Lai-Sho,HKG,12,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Nilsson Kristina,SWE,13,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Xu Kitty,NZL,14,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Huang Qingzhu,CHN,15,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Kuznetsova Tamara,KAZ,16,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
He Cuifang,CHN,17,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Huang Li-Ping,CHN,18,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Irsaliyeva Dinara,KAZ,18,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
Liu Gui-Ying,CHN,18,,UIAA Worldcup - Shanghai (CHN) 2004,358,2004,Shanghai,Speed,Women,2004-10-01,/api/v1/events/358/result/6,2004-10-01_Shanghai_Speed_Women_no-round.csv
