name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Eyer Alexandra,SUI,1,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Shalagina Olga,UKR,2,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Vidmar Maja,SLO,3,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Eiter Angela,AUT,4,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Sarkany Muriel,BEL,5,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Kobayashi Yuka,JPN,6,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Ciavaldini Caroline,FRA,7,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Ostapenko Olena,UKR,8,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Kim Jain,KOR,9,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Iaemourd Ekaterina,RUS,10,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Bacher Barbara,AUT,11,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Martin Delphine,FRA,12,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Levet Sandrine,FRA,13,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Lavarda Jenny,ITA,14,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Saurwein Katharina,AUT,15,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Vidmar Katja,SLO,16,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Kysilkova Tereza,CZE,17,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Hrozova Lucie,CZE,18,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Kudrova Nelly,CZE,18,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Cintalova Zuzana,SVK,20,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Cintalova Katarina,SVK,21,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Chudobova Katerina,CZE,22,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Lipenska Helena,CZE,23,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Raffetseder Gerda,AUT,24,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Go Mi-Sun,KOR,25,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Kugler Eliza,POL,26,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Tomanova Petra,SVK,27,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Do Eun-Na,KOR,28,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Glaserova Martina,CZE,29,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
Karesova Eliska,CZE,30,,UIAA Worldcup - Brno (CZE) 2004,361,2004,Brno,Lead,Women,2004-11-11,/api/v1/events/361/result/413
