name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Meyer Jérôme,FRA,1,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Core Christian,ITA,2,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Fischhuber Kilian,AUT,3,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Rakhmetov Salavat,RUS,4,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Laurence Ludovic,FRA,5,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Gaidioz Loïc,FRA,6,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Kazbekov Serik,UKR,7,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
DU LAC Daniel,FRA,8,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Würth Peter,GER,9,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Samyn Remi,FRA,10,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Müller Matthias,SUI,11,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Sharafutdinov Dmitrii,RUS,12,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Gelmanov Rustam,RUS,13,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Kleshnov Stanislav,UKR,13,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Borowka Karsten,GER,15,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Thomassin Matthieu,FRA,15,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Julien Stephane,FRA,17,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
Parry Gareth,GBR,17,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3,2005-04-08_Moscow_Boulder_Men_no-round.csv
