name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Levet Sandrine,FRA,1,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Stöhr Anna,AUT,2,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Abgrall Emilie,FRA,3,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Son Mélanie,FRA,4,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Ansade Maud,FRA,5,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Abramchuk Yulia,RUS,6,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Shemulinkina  Tatiana,RUS,7,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Chereshneva Yana,RUS,8,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Giammarco Giulia,ITA,9,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Bibik Olga,RUS,10,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Aguirre Leire,ESP,11,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Ochtchepkova Olga,RUS,12,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Verdier Emilie,FRA,13,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Lavarda Jenny,ITA,14,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Lipenska Helena,CZE,15,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Choumilova Elena,RUS,16,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Chereshneva Venera,RUS,17,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Iakovleva Olga,RUS,18,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Marchisio Stella,ITA,19,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Perlova Nataliya,UKR,20,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Hodann Anja,SWE,21,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Arch Nina,AUT,22,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Iaemourd Ekaterina,RUS,23,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Titova Natalia,RUS,23,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Kugler Eliza,POL,25,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Alekseeva Kseniia,RUS,26,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Gallyamova Anna,RUS,27,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Martin Sancho Berta,ESP,28,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Minaeva Natalia,RUS,28,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Astashova Zosya,RUS,30,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
Soboleva Yevgeniya,KAZ,31,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
