name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Minatchev Evgueni,RUS,1,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Vaitsekhovskii Evgenii,RUS,2,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Sadyrov Marat,RUS,3,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Sharafutdinov Dmitrii,RUS,4,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Sinitcyn Sergei,RUS,5,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Peshekhonov Alexander,RUS,6,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Vorobyev Valeriy,RUS,7,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Kuzovlev Nikolai,RUS,8,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Chaoulsky Alexandre,RUS,9,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Styenkovyy Maksym,UKR,10,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Soubbotine Iakov,RUS,11,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Skripov Anatoly,RUS,12,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Portsev Dmitriy,RUS,13,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
Oleksy Tomasz,POL,14,,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2,2005-04-08_Moscow_Speed_Men_no-round.csv
