name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Julian  Puigblanque Ramón ,ESP,1,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Crespi Flavio,ITA,2,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Chabot Alexandre,FRA,3,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Lachat Cédric,SUI,4,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Vinokur Vadim,USA,5,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Verhoeven Jorg,NED,6,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Zardini Luca,ITA,7,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Mrázek Tomás,CZE,8,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Bindhammer Christian,GER,9,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Usobiaga Lakunza Patxi,ESP,10,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Preußler Timo,GER,11,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Ovchinnikov Evgeny,RUS,12,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Sapey Anthony,SUI,13,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Fuselier Michaël,FRA,14,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Desgranges Romain,FRA,15,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Sova Matej,SLO,16,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Dugit Fabien,FRA,17,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Winkler Daniel,SUI,18,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Legrand Yannick,FRA,19,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Becan Klemen,SLO,20,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Favresse Olivier,BEL,21,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Brenna Cristian,ITA,22,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Ten Sijthoff Casper,NED,23,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Droetto Fabrizio,ITA,24,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Magin Philipp,GER,25,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Valjavec Tomaz,SLO,26,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Ito Hidekazu,JPN,27,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Schmid Thomas,SUI,28,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Hirayama Yuji,JPN,29,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Sommer Remo,SUI,29,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Repcik Juraj,SVK,31,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Guerimand Flavien,FRA,32,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Bindhammer Andreas,GER,33,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Tak Timo,NED,33,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Marin Garcia Eduard,ESP,35,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Mottart Didier,BEL,36,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Giupponi Luca,ITA,37,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Timmermans Michael,BEL,38,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
De Girolamo Vincent,FRA,39,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Millet Sylvain,FRA,39,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Reis Jürgen,AUT,39,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Gambaro Matteo,ITA,42,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Libot Wanne,BEL,43,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Thomas Jonathan,BEL,44,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
Materne Florian,BEL,45,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1,2005-04-28_Puurs_Lead_Men_no-round.csv
