name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Eiter Angela,AUT,1,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Levet Sandrine,FRA,2,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Vidmar Maja,SLO,3,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Ciavaldini Caroline,FRA,4,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Sarkany Muriel,BEL,5,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Gros Natalija,SLO,6,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Franko Lucka,SLO,7,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Giroux Elodie,FRA,8,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Kobayashi Yuka,JPN,9,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Bacher Barbara,AUT,10,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Eyer Alexandra,SUI,11,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Januel Caroline,FRA,12,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Graftiaux Chloé,BEL,13,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Zijlstra Vera,NED,14,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Chevrier Anne-Laure,FRA,15,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Graftiaux Alix,BEL,16,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Cufar Martina,SLO,17,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Minoret Chloé,FRA,17,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
Stendal Linn Karin,NOR,19,,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5,2005-04-28_Puurs_Lead_Women_no-round.csv
