name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Vaitsekhovskii Evgenii,RUS,1,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Styenkovyy Maksym,UKR,2,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Sinitcyn Sergei,RUS,3,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Oleksy Tomasz,POL,4,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Escobar Manuel,VEN,5,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Minatchev Evgueni,RUS,6,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Soubbotine Iakov,RUS,7,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Peshekhonov Alexander,RUS,8,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Shevchenko Kyrylo,UKR,9,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Titov Vyacheslav,UKR,10,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Lakhin Oleksandr,UKR,11,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Hroza Libor,CZE,12,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Komondi Csaba,HUN,13,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Lai Chi-Wai,HKG,14,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Amann Mark,AUT,15,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Mecherzynski-Wiktor Andrzej,POL,16,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Jubes Angarita Marco Antonio,ESP,17,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Chaoulsky Alexandre,RUS,18,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Lau Johannes,GER,19,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Chen Xiaojie,CHN,20,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Shyshkovskyy Ivan,UKR,21,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Kucsera Bálint,HUN,22,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Ashton Brett,USA,23,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Pfanner Andreas,AUT,24,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Swirk Lukasz,POL,25,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Olivares Rafael,VEN,26,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Devyaterikov Artyom,KAZ,27,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Katsitadze Soso,GEO,28,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
Boulbahaiem Salah,BEL,29,,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,2005-07-01,/api/v1/events/396/result/2
