name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Stenkovaya Anna,RUS,1,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Yurina Valentina,RUS,2,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Alekseeva Kseniia,RUS,3,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Ruyga Tatiana,RUS,4,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Tuzhylina Svitlana,UKR,5,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Evstigneeva Olga,RUS,6,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Ropek Edyta,POL,7,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Blanco Lucelia,VEN,8,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Saulevich Olesya,RUS,9,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Policard Michaelle,FRA,10,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Hendrawati Agung Ethi,INA,11,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Zakharova Olga,UKR,12,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Neliwati Evi,INA,13,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Karesova Eliska,CZE,14,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Couchot Mathilde,FRA,15,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Cheng Lai-Sho,HKG,16,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Nilsson Kristina,SWE,17,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Glaserova Martina,CZE,18,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
Archana Bangalore Subbarao,IND,19,,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,2005-07-12,/api/v1/events/397/result/6
