name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Danion Juliette,FRA,1,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Levet Sandrine,FRA,2,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Stöhr Anna,AUT,3,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Chereshneva Yana,RUS,4,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Abramchuk Yulia,RUS,5,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Abgrall Emilie,FRA,6,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Bibik Olga,RUS,7,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Januel Caroline,FRA,8,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Aguirre Leire,ESP,9,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Son Mélanie,FRA,10,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Bacher Barbara,AUT,11,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Martin Delphine,FRA,12,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Lind Angelica,SWE,13,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Chereshneva Venera,RUS,14,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Harmand Ludivine,FRA,14,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Verdier Emilie,FRA,16,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Chevrier Anne-Laure,FRA,17,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Hodann Anja,SWE,18,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Barbier Marine,FRA,19,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Hughes Lucinda,GBR,20,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Cusa Marine,FRA,21,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Arch Nina,AUT,22,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
Mills Katherine,GBR,23,,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,2005-09-29,/api/v1/events/400/result/7,2005-09-29_Firminy_Boulder_Women_no-round.csv
