name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Verhoeven Jorg,NED,1,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Fuselier Michaël,FRA,2,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Lachat Cédric,SUI,3,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Julian  Puigblanque Ramón ,ESP,4,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Crespi Flavio,ITA,5,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Midtboe Magnus,NOR,6,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Usobiaga Lakunza Patxi,ESP,7,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Mrázek Tomás,CZE,8,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Winkler Daniel,SUI,9,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Dugit Fabien,FRA,10,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Comina Fabien,FRA,11,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Desgranges Romain,FRA,11,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Caude David,FRA,13,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Valjavec Tomaz,SLO,14,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Petrenko Maksym,UKR,15,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
