name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Crespi Flavio,ITA,1,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Lama David,AUT,2,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Mrázek Tomás,CZE,3,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Verhoeven Jorg,NED,4,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Zardini Luca,ITA,5,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Lachat Cédric,SUI,6,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Julian  Puigblanque Ramón ,ESP,7,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Dugit Fabien,FRA,8,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Winkler Daniel,SUI,9,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Millet Sylvain,FRA,10,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Stranik Martin,CZE,11,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Marin Garcia Eduard,ESP,12,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Bindhammer Christian,GER,13,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Desgranges Romain,FRA,14,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Lagni Bernardino,ITA,15,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Van der Werf Roman,NED,16,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Hequin Olivier,FRA,17,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Dugit Stephane,FRA,18,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Sova Matej,SLO,19,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Högström Magnus,SWE,20,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Bindhammer Andreas,GER,21,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Neumärker Felix,GER,22,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Ten Sijthoff Casper,NED,23,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Usobiaga Lakunza Patxi,ESP,24,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Hoppe Markus,GER,25,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Fuselier Michaël,FRA,26,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Reis Jürgen,AUT,27,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Wszolek Marcin,POL,27,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
Jubes Angarita Marco Antonio,ESP,29,,UIAA Climbing Worldcup (L) - Puurs (BEL) 2006,427,2006,Puurs,Lead,Men,2006-04-28,/api/v1/events/427/result/1
