name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Danion Juliette,FRA,1,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Bibik Olga,RUS,2,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Eiter Angela,AUT,3,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Son Mélanie,FRA,4,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Bezhko Olga,UKR,5,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Graftiaux Chloé,BEL,6,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Rajfova Silvie,CZE,7,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Gros Natalija,SLO,8,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Lipenska Helena,CZE,9,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Abgrall Emilie,FRA,10,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Bacher Barbara,AUT,11,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Perlova Nataliya,UKR,12,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Lavarda Jenny,ITA,13,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Aguirre Leire,ESP,14,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Vidmar Katja,SLO,15,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Harmand Ludivine,FRA,16,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Hodann Anja,SWE,17,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Seguy Audrey,GBR,18,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Combaz Celine,FRA,19,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Ciret Colette,FRA,20,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Ansade Maud,FRA,21,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Verdier Emilie,FRA,21,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
De Grandi Stefania,ITA,23,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Battaglia Claudia,ITA,24,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Arch Nina,AUT,25,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Zulim Tamara,CRO,26,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Lind Angelica,SWE,27,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Longo Roberta,ITA,27,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Mills Katherine,GBR,29,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Lozic Maja,CRO,30,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Matthews Sarah,AUS,31,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
Bakulic Sandra,CRO,32,,UIAA Climbing Worldcup (B) - Rovereto (ITA) 2006,428,2006,Rovereto,Boulder,Women,2006-05-12,/api/v1/events/428/result/7
