name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Lama David,AUT,1,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Millet Sylvain,FRA,2,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Verhoeven Jorg,NED,3,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Mrázek Tomás,CZE,4,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Hoppe Markus,GER,5,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Fuselier Michaël,FRA,6,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Dugit Fabien,FRA,7,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Crespi Flavio,ITA,8,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Preußler Timo,GER,9,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Amma Sachi,JPN,10,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Borowka Andre,GER,11,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Usobiaga Lakunza Patxi,ESP,12,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Lachat Cédric,SUI,13,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Neumärker Felix,GER,14,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Winkler Daniel,SUI,14,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Marin Garcia Eduard,ESP,16,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Mogaki Keita,JPN,17,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
De Girolamo Vincent,FRA,18,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Becan Klemen,SLO,19,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Tsuiki Takaaki,JPN,20,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Stranik Martin,CZE,21,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Julian  Puigblanque Ramón ,ESP,22,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Midtboe Magnus,NOR,22,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Zardini Luca,ITA,22,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Lagni Bernardino,ITA,25,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Droetto Fabrizio,ITA,26,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Dugit Stephane,FRA,27,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Kryukov Valeriy,UKR,28,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Wszolek Marcin,POL,29,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Sova Matej,SLO,30,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Pekarev Mikhail,RUS,31,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Wagner Roland,AUT,31,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Guerimand Flavien,FRA,33,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Oleksy Tomasz,POL,33,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Gogol Mikhail,RUS,35,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Reis Jürgen,AUT,35,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Pfanner Andreas,AUT,37,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Svub Ondrej,SVK,37,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Desgranges Romain,FRA,39,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Chernikov Mikhail,RUS,40,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Caude David,FRA,41,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Krastev Ivaylo,BUL,42,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Sarkany Frederic,BEL,42,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Andersen Sören,DEN,44,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Knoche Thomas,GER,44,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Pagnoux Romain,FRA,44,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Kamvas Balint,HUN,47,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Walther Friedemann,GER,48,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Bresnehan Jake,AUS,49,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Jaggi Martin,SUI,49,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Jung Markus,GER,51,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Amann Mark,AUT,52,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Danker Stefan,GER,52,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Heintz Benoit,FRA,54,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Muran Dalibor,CZE,55,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Norgaard Rasmus,DEN,56,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
Satanek David,SVK,57,,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,429,2006,Dresden,Lead,Men,2006-05-19,/api/v1/events/429/result/1,2006-05-19_Dresden_Lead_Men_no-round.csv
