name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Meyer Jérôme,FRA,1,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Gaidioz Loïc,FRA,2,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Fischhuber Kilian,AUT,3,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Glairon Mondet Guillaume,FRA,4,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Core Christian,ITA,5,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Gelmanov Rustam,RUS,6,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Mrázek Tomás,CZE,7,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Samyn Remi,FRA,8,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Earl Andrew,GBR,9,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Pouvreau Gérome,FRA,10,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Lachat Cédric,SUI,11,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Caminati Michele,ITA,12,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
McColl Sean,CAN,13,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Oleksy Tomasz,POL,14,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Borowka Karsten,GER,15,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Sommer Remo,SUI,16,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Müller Matthias,SUI,17,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Jalmain Sebastien,FRA,18,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Julien Stephane,FRA,19,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Jongeneelen Wouter,NED,20,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Dutray Mathieu,FRA,21,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Hemund Kevin,SUI,22,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Thomassin Matthieu,FRA,23,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Moroni Gabriele,ITA,24,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Baumann Jonas,GER,25,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Badia Nicolas,FRA,26,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Preti Lucas,ITA,27,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Moosburger Emanuel,AUT,28,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Merz Aric,GER,29,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
Benk Christian,GER,30,,UIAA Climbing Worldcup (B) - Grindelwald (SUI) 2006,430,2006,Grindelwald,Boulder,Men,2006-06-09,/api/v1/events/430/result/3,2006-06-09_Grindelwald_Boulder_Men_no-round.csv
