name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Bibik Olga,RUS,1,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Abramchuk Yulia,RUS,2,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Danion Juliette,FRA,3,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Stöhr Anna,AUT,4,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Graftiaux Chloé,BEL,5,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Seguy Audrey,GBR,6,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Hodann Anja,SWE,7,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Son Mélanie,FRA,8,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Harmand Ludivine,FRA,9,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Ciret Colette,FRA,10,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
De Grandi Stefania,ITA,11,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Abgrall Emilie,FRA,12,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Bacher Barbara,AUT,13,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Eiter Angela,AUT,14,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Rajfova Silvie,CZE,15,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Berry Samantha,AUS,16,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Lipenska Helena,CZE,17,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Vidmar Katja,SLO,18,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Bacher Sabine,AUT,19,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Cintalova Zuzana,SVK,20,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Ansade Maud,FRA,21,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Kim Jain,KOR,22,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Saurwein Katharina,AUT,23,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Bariani Irene,ITA,24,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Combaz Celine,FRA,25,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Smith-Gobat Mayan,NZL,26,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Harnisch Martina,AUT,27,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Ogawa Tomoko,JPN,28,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Morandi Sara,ITA,29,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Aguirre Leire,ESP,30,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Cintalova Katarina,SVK,30,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Zangerl Barbara,AUT,30,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
Hawke Emma,NZL,33,,UIAA Climbing Worldcup (B) - Hall (AUT) 2006,432,2006,Hall,Boulder,Women,2006-06-22,/api/v1/events/432/result/7,2006-06-22_Hall_Boulder_Women_no-round.csv
