name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Vaitsekhovskii Evgenii,RUS,1,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Peshekhonov Alexander,RUS,2,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Kosterin Alexander,RUS,3,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Sinitcyn Sergei,RUS,4,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Hroza Libor,CZE,5,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Chapelle Sylvain,FRA,6,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Oleksy Tomasz,POL,7,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Escobar Manuel,VEN,8,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Mawem Bassa,FRA,9,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Kaurov Ivan,RUS,10,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Carvajal Nestor,VEN,11,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Komondi Csaba,HUN,12,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Amann Mark,AUT,13,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Januel Nicolas,FRA,14,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Svub Matej,SVK,15,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Pouvreau Gérome,FRA,16,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
Preti Lucas,ITA,17,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
De Las Salas Leonel,VEN,18,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
REINOSO NARANJO Hernan Agustin,ECU,19,,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,433,2006,Chamonix,Speed,Men,2006-07-12,/api/v1/events/433/result/2
