name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Julian  Puigblanque Ramón ,ESP,1,,UIAA Climbing Worldcup (L) - Qinghai Province (CHN) 2006,434,2006,Qinghai Province,Lead,Men,2006-07-29,/api/v1/events/434/result/1,2006-07-29_Qinghai Province_Lead_Men_no-round.csv
Verhoeven Jorg,NED,2,,UIAA Climbing Worldcup (L) - Qinghai Province (CHN) 2006,434,2006,Qinghai Province,Lead,Men,2006-07-29,/api/v1/events/434/result/1,2006-07-29_Qinghai Province_Lead_Men_no-round.csv
Mrázek Tomás,CZE,3,,UIAA Climbing Worldcup (L) - Qinghai Province (CHN) 2006,434,2006,Qinghai Province,Lead,Men,2006-07-29,/api/v1/events/434/result/1,2006-07-29_Qinghai Province_Lead_Men_no-round.csv
Crespi Flavio,ITA,4,,UIAA Climbing Worldcup (L) - Qinghai Province (CHN) 2006,434,2006,Qinghai Province,Lead,Men,2006-07-29,/api/v1/events/434/result/1,2006-07-29_Qinghai Province_Lead_Men_no-round.csv
Usobiaga Lakunza Patxi,ESP,5,,UIAA Climbing Worldcup (L) - Qinghai Province (CHN) 2006,434,2006,Qinghai Province,Lead,Men,2006-07-29,/api/v1/events/434/result/1,2006-07-29_Qinghai Province_Lead_Men_no-round.csv
Winkler Daniel,SUI,6,,UIAA Climbing Worldcup (L) - Qinghai Province (CHN) 2006,434,2006,Qinghai Province,Lead,Men,2006-07-29,/api/v1/events/434/result/1,2006-07-29_Qinghai Province_Lead_Men_no-round.csv
Marin Garcia Eduard,ESP,7,,UIAA Climbing Worldcup (L) - Qinghai Province (CHN) 2006,434,2006,Qinghai Province,Lead,Men,2006-07-29,/api/v1/events/434/result/1,2006-07-29_Qinghai Province_Lead_Men_no-round.csv
Millet Sylvain,FRA,8,,UIAA Climbing Worldcup (L) - Qinghai Province (CHN) 2006,434,2006,Qinghai Province,Lead,Men,2006-07-29,/api/v1/events/434/result/1,2006-07-29_Qinghai Province_Lead_Men_no-round.csv
Becan Klemen,SLO,9,,UIAA Climbing Worldcup (L) - Qinghai Province (CHN) 2006,434,2006,Qinghai Province,Lead,Men,2006-07-29,/api/v1/events/434/result/1,2006-07-29_Qinghai Province_Lead_Men_no-round.csv
Lachat Cédric,SUI,10,,UIAA Climbing Worldcup (L) - Qinghai Province (CHN) 2006,434,2006,Qinghai Province,Lead,Men,2006-07-29,/api/v1/events/434/result/1,2006-07-29_Qinghai Province_Lead_Men_no-round.csv
