name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Preußler Timo,GER,1,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Winkler Daniel,SUI,2,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Usobiaga Lakunza Patxi,ESP,3,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Crespi Flavio,ITA,4,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Fuselier Michaël,FRA,5,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Mrázek Tomás,CZE,6,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Bindhammer Christian,GER,7,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Marin Garcia Eduard,ESP,8,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Verhoeven Jorg,NED,9,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Dugit Fabien,FRA,10,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Millet Sylvain,FRA,11,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Park Jihwan,KOR,12,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Mogaki Keita,JPN,13,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Bokhari Hafzanizam,MAS,14,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Amri Amri,INA,15,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Kartiko Bondan,INA,16,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Ponti Hardianto,INA,17,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Norgaard Rasmus,DEN,18,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Shafiee Zul Fadzli,MAS,19,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Julian  Puigblanque Ramón ,ESP,20,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Chu Ka-Wai,HKG,21,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Park Hee Yong,KOR,22,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Tsuiki Takaaki,JPN,23,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Mohd Irwan Mohd Hussain,SGP,24,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Yusuf Zulkarnaen,INA,25,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Bindhammer Andreas,GER,26,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Abu Hassan Khairul Hafiz,MAS,27,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Leong Chee Hoi,SGP,28,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Roslan Mohd Redha,MAS,29,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Ito Hidekazu,JPN,30,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Yam Choo Hian,SGP,31,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
"Koh Zher Yeow, Jay",SGP,32,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Diaz Dennis,PHI,33,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Masdari Zakariaya,MAS,33,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Low Hong Jie,MAS,35,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
Meeseat Dhansarit,THA,36,,UIAA Climbing Worldcup (L+S) - Kuala Lumpur (MAS) 2006,437,2006,Kuala Lumpur,Lead,Men,2006-08-12,/api/v1/events/437/result/1
