name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results
Usobiaga Lakunza Patxi,ESP,1,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Crespi Flavio,ITA,2,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Verhoeven Jorg,NED,3,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Julian  Puigblanque Ramón ,ESP,4,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Mrázek Tomás,CZE,5,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Lama David,AUT,6,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Amma Sachi,JPN,7,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Lachat Cédric,SUI,8,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Hirayama Yuji,JPN,9,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Millet Sylvain,FRA,10,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Zardini Luca,ITA,11,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Bindhammer Christian,GER,12,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Marin Garcia Eduard,ESP,12,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Midtboe Magnus,NOR,12,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Reis Jürgen,AUT,15,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Winkler Daniel,SUI,16,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Preußler Timo,GER,17,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Caude David,FRA,18,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Becan Klemen,SLO,19,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Kaurov Ivan,RUS,20,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Fuselier Michaël,FRA,21,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Dugit Fabien,FRA,22,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Kim Dae Yeob,KOR,23,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Ten Sijthoff Casper,NED,24,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Sova Matej,SLO,25,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Hequin Olivier,FRA,26,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Jubes Angarita Marco Antonio,ESP,27,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Mogaki Keita,JPN,28,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Ozawa Shinta,JPN,28,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Solovey Igor,UKR,28,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
Comina Fabien,FRA,31,,UIAA Climbing Worldcup (L) - Marbella (ESP) 2006,438,2006,Marbella,Lead,Men,2006-09-16,/api/v1/events/438/result/1
