name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
Danion Juliette,FRA,1,4t4 4b4,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Graftiaux Chloé,BEL,2,4t4 4b4,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Gros Natalija,SLO,3,4t4 4b4,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Rajfova Silvie,CZE,4,4t5 4b5,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Shalagina Olga,UKR,5,4t6 4b4,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Bacher Sabine,AUT,6,4t6 4b5,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Lavarda Jenny,ITA,7,4t11 4b6,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Berry Samantha,AUS,8,3t3 4b5,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Abgrall Emilie,FRA,9,3t3 4b5,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Bacher Barbara,AUT,10,3t3 3b3,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Lind Angelica,SWE,11,3t5 4b6,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Abramchuk Yulia,RUS,12,3t8 4b11,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Combaz Celine,FRA,13,2t2 3b5,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Ansade Maud,FRA,14,2t3 4b5,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Harmand Ludivine,FRA,15,2t6 4b9,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Hodann Anja,SWE,16,1t1 3b7,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Chevrier Anne-Laure,FRA,17,1t1 3b8,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Longo Roberta,ITA,18,0t 3b3,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Schade Sonja,GER,19,0t 1b2,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
Sosnovskykh Mariya,UKR,20,0t 0b,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Semi-Final,2007-03-30,/api/v1/category_rounds/592/results,/api/v1/events/468/result/7
