name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
Fischhuber Kilian,AUT,1,6t11 6b9,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
Mrázek Tomás,CZE,2,6t12 6b12,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
Verhoeven Jorg,NED,3,5t9 6b10,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
Julien Stéphan,FRA,4,5t10 5b10,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
Sharafutdinov Dmitrii,RUS,5,5t13 5b11,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
Meyer Jérôme,FRA,6,4t5 5b6,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
DU LAC Daniel,FRA,7,4t6 5b8,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
Lama David,AUT,8,4t7 6b9,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
Shalagin Mykhaylo,UKR,9,4t10 5b11,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
Caminati Michele,ITA,10,4t10 4b9,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
Moroni Gabriele,ITA,11,4t11 5b11,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
Matsushima Akito,JPN,12,3t4 6b15,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
Badia Nicolas,FRA,13,3t4 3b4,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
Edwards Marc,AUS,13,3t4 3b4,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,471,2007,Hall,Boulder,Men,Qualification,2007-04-27,/api/v1/category_rounds/610/results,/api/v1/events/471/result/3
